public_services_geometry,public_services_tag,public_services_address,public_services_street,public_services_brand_name,public_services_city
POINT (-6.2694444 53.3501344),school,ICOT,,,
POINT (-6.4028846 53.3239414),school,Coláiste Chilliain,Old Nangor Road,,
POINT (-6.4020767 53.3235146),school,Gaelscoil Chluain Dolcáin,,,
POINT (-6.2949575 53.3393169),bank,Bank of Ireland,St. James's Hospital,Bank of Ireland,
POINT (-6.295008 53.3394042),pharmacy,St James's Late Night Pharmacy,St. James's Hospital,,
POINT (-6.4137462 53.3262245),school,Scoil Talbot,,,
POINT (-6.4130037 53.3261827),school,Scoil Nano Nagle,,,
POINT (-6.3027891 53.3390815),doctors,Dr Michael Doyle;Dr Lucy Belton,South Circular Road,,Dublin
POINT (-6.3904882 53.286079),bank,Tallaght West Credit Union,,,
POINT (-6.3904279 53.2863777),post_office,Springfield Post Office,Fortunestown Shopping Centre,An Post,
POINT (-6.3701384 53.2861943),post_office,Tallaght Square Post Office,Belgard Square South,An Post,
POINT (-6.2613051 53.3495341),pharmacy,Hickeys Pharmacy,Henry Street,,Dublin
POINT (-6.2652752 53.3482902),pharmacy,Boots,Jervis Street,Boots,Dublin
POINT (-6.471165 53.281389),bank,Bank of Ireland,Main Street,Bank of Ireland,
POINT (-6.4131896 53.3247571),clinic,CATTS Ireland,Bawnogue Road,,Dublin
POINT (-6.3229229 53.324469),pharmacy,Boots,Drimnagh Road,Boots,Dublin
POINT (-6.3275631 53.3243297),childcare,,,,
POINT (-6.3295057 53.3241392),doctors,,,,
POINT (-6.3294896 53.3241176),pharmacy,,,,
POINT (-6.3211662 53.3254923),post_office,Drimnagh Post Office,Errigal Road,An Post,
POINT (-6.3194603 53.3345375),post_office,Galtymore Road Post Office,Galtymore Road,An Post,Dublin
POINT (-6.4005929 53.278068),post_office,Jobstown Post Office,Kiltalown Way,An Post,
POINT (-6.294807 53.3390997),place_of_worship,Camino Rest,,,
POINT (-6.358737 53.2880592),bank,Ulster Bank (CLOSED),,,
POINT (-6.2793853 53.3490911),pharmacy,"Market Pharmacy, Smithfield",Thundercut Alley,,
POINT (-6.5387579 53.3393871),pharmacy,Walsh's Pharmacy,Main Street,,
POINT (-6.2635299 53.3468765),doctors,The Well Woman Centre,Liffey Street Lower,,Dublin
POINT (-6.2591418 53.3480022),doctors,Dr. Ganstegurnh,O'Connell Street Lower,,Dublin
POINT (-6.36089 53.2873285),pharmacy,,Main Road,,
POINT (-6.2978518 53.2927073),kindergarten,Buttercup Creche,Marian Road,,
POINT (-6.2984854 53.2903626),pharmacy,,Marian Road,,
POINT (-6.3054644 53.2720753),social_facility,Bloomfield Health Services and Quaker House,Stocking Lane,,
