public_services_geometry,public_services_tag,public_services_address,public_services_street,public_services_brand_name,public_services_city
POINT (-6.3306774 53.2757385),kindergarten,The Learning Curve Montessori,Woodstown Shopping Centre,,
POINT (-6.2988929 53.3369616),social_facility,Rialto Family Centre,South Circular Road,,Dublin
POINT (-6.298948 53.3371515),bank,Heritage Credit Union,South Circular Road,,
POINT (-6.4929332 53.2959679),post_office,Newcastle Post Office,,An Post,
POINT (-6.2644593 53.3297685),doctors,Skincheck,Rathmines Road Lower,,
POINT (-6.266191 53.3393691),childcare,YMCA Dublin Community Hub,Aungier Street,,
POINT (-6.2605896 53.3401272),doctors,MHR Clinic,Grafton Street,,
POINT (-6.3150547 53.3368366),childcare,,,,
POINT (-6.3162317 53.3385677),doctors,Inchicore Family Doctors,St Michael's Estate,,
POINT (-6.2724881 53.3419832),social_facility,DePaul,Nicholas Street,,
POINT (-6.2721874 53.3391955),school,Saint Patrick's Choir School,,,
POINT (-6.2651243 53.3331149),childcare,D2 Montessori,Camden Street Upper,,
POINT (-6.4777701 53.2932003),childcare,Grian Na Nóg,,,
POINT (-6.4993261 53.2999227),doctors,Laser Clinic,Main Street,,Newcastle
POINT (-6.2835444 53.2891817),doctors,St Enda's Family Practice,,,
POINT (-6.3899314 53.2865004),pharmacy,Hickey's Pharmacy,,,
POINT (-6.5292279 53.1743361),kindergarten,Bláth na nÓige,,,
POINT (-6.5338573 53.1697152),doctors,Blessington Family Practice,Main Street,,
POINT (-6.533948 53.1696515),pharmacy,McGreals Pharmacy,Main Street,,
POINT (-6.2835431 53.2891268),pharmacy,Andrew Buckley,Saint Endas Drive,,
POINT (-6.2964111 53.3396492),doctors,Dub Doc,,,
POINT (-6.3213649 53.3164436),doctors,,Cromwellsfort Road,,
POINT (-6.378786 53.3510656),doctors,Palmerstown Park Medical,Palmerstown Park,,
POINT (-6.291764 53.319559),post_office,Sundrive Road Post Office,Sundrive Road,An Post,Dublin
POINT (-6.2628324 53.3361213),childcare,Harcourt Creche,Clonmel Street,,Dublin
POINT (-6.3744832 53.2882848),clinic,Affidea Tallaght,Belgard Square West,,Tallaght
POINT (-6.2598694 53.3419202),pharmacy,Hickey's,Grafton Street,,Dublin
POINT (-6.3918326 53.3210889),childcare,The Village Day Care and Montessori School,,,
POINT (-6.5130991 53.3075566),childcare,Sticky Fingers,,,
POINT (-6.3210282 53.3398687),bank,Irish Social Finance Centre,,,
POINT (-6.3751334 53.2881645),clinic,Beacon Renal,,,
POINT (-6.3269876 53.3416553),clinic,Sarsfield Medical Centre,,,
POINT (-6.3631142 53.3464938),social_facility,Gurteen Youth Club,Gurteen Road,,
POINT (-6.3450471 53.2749176),doctors,Ballycullen Medical Centre,,,
POINT (-6.5304045 53.3362591),doctors,Primrose Gate Medical Centre,Willow Court,,Celbridge
POINT (-6.5304065 53.3362042),pharmacy,Kinsella's Pharmacy,Primrose Gate,,Celbridge
POINT (-6.3351803 53.321181),bank,Heritage Credit Union,Walkinstown Green,Heritage Credit Union,Dublin
POINT (-6.3531892 53.2758292),clinic,Centric Health - Old Bawn Medical,,,
POINT (-6.3597343 53.2994238),post_office,Kilnamanagh Post Office,Treepark Road,An Post,
POINT (-6.2943412 53.3416369),library,John Stearne Medical Library,,,
POINT (-6.3182572 53.2830792),bank,Capital Credit Union - Knocklyon Office,,,
POINT (-6.5377276 53.3408814),pharmacy,Castletown Pharmacy,Main Street,,
POINT (-6.2695354 53.3360744),doctors,Luke Doc,Heytesbury Street,,Dublin
POINT (-6.2696481 53.3360808),clinic,Gay Men's Health Service,Heytesbury Street,,Dublin
POINT (-6.5322371 53.3386674),doctors,Orchard Medical Center,,,
POINT (-6.5323538 53.3386434),pharmacy,ChemCo,,,
POINT (-6.3567542 53.3426414),pharmacy,Haven Pharmacy,,,
POINT (-6.3566919 53.3426419),doctors,Grange Cross Medical,,,
POINT (-6.3611822 53.3431096),pharmacy,Pure Pharmacy,,,
POINT (-6.3612993 53.3431236),doctors,Ballyfermot Family Practice,,,
POINT (-6.2903167 53.3343385),pharmacy,Coombe Community Pharmacy,,,
POINT (-6.459907 53.3536492),doctors,Dodsboro Clinic,,,
POINT (-6.2945722 53.3351035),pharmacy,Mangan's Pharmacy Rialto,South Circular Road,,Dublin
POINT (-6.3406125 53.3477457),childcare,,,,
POINT (-6.372695 53.2867413),pharmacy,Boots,,Boots,
POINT (-6.3723087 53.2871205),bank,EBS,,,
POINT (-6.3718459 53.2866329),social_facility,Citizen's Information Centre,The Square,,
POINT (-6.3567907 53.2880457),pharmacy,Lloyds Pharmacy,,Lloyds Pharmacy,
POINT (-6.3708425 53.2868843),pharmacy,Lloyds Pharmacy,,Lloyds Pharmacy,
POINT (-6.3375581 53.3070186),pharmacy,Mark Ellis,Saint James Road,,
POINT (-6.3569763 53.2883146),childcare,,,,
POINT (-6.3344697 53.3299671),pharmacy,Bluebell Pharmacy,La Touche Road,,
POINT (-6.614711 53.1326175),pharmacy,,,,Ballymore Eustace
POINT (-6.3770047 53.287456),clinic,Robert Graves Institute of Endocrinology,,,Tallaght
POINT (-6.3500296 53.2949413),place_of_worship,Mosque of Tallaght,Hibernian Industrial Estate,,Tallaght
POINT (-6.2809057 53.3437454),childcare,Busy Bees,,,Dublin
POINT (-6.2883077 53.3437254),pharmacy,Reilly's Pharmacy,James's Street,,Dublin
POINT (-6.2598311 53.347625),pharmacy,Hickey's Pharmacy,O'Connell Street Lower,Hickey's Pharmacy,Dublin
POINT (-6.2622967 53.3493874),pharmacy,Boots,Henry Street,Boots,Dublin
POINT (-6.2660901 53.3377962),doctors,Aungier Street Clinic,,,
POINT (-6.3792617 53.3501732),library,Palmerstown Library Digital Hub,,,
POINT (-6.3796611 53.3501378),post_office,Palmerstown Post Office,Kennelsfort Road Upper,,
POINT (-6.2882405 53.343736),doctors,St James's Gate Medical,,,
POINT (-6.538614 53.3418375),veterinary,Celbridge Veterinary Hospital,,,
POINT (-6.2656435 53.3427664),police,Regional Office for the Dublin Metropolitan Region,,,Dublin
POINT (-6.3596721 53.2843309),childcare,Three Little Lambs,,,
POINT (-6.4733883 53.3458727),childcare,Giraffe Childcare,,,
"POLYGON ((-6.3267983 53.2967598, -6.3262668 53.2971182, -6.3263145 53.2971611, -6.3262842 53.2972346, -6.3262756 53.2972556, -6.3262582 53.2976948, -6.3289113 53.2982715, -6.3292847 53.2983234, -6.3309531 53.2986725, -6.3313809 53.2980802, -6.3304241 53.2977662, -6.329001 53.2974077, -6.3288697 53.2972846, -6.3281043 53.2970706, -6.3267983 53.2967598))",school,Saint Mac Dara's Community College,,,
"POLYGON ((-6.3501583 53.3009941, -6.3511161 53.3011753, -6.3509129 53.3015256, -6.3503965 53.301657, -6.3501342 53.3016888, -6.3499077 53.3017058, -6.349042 53.3016212, -6.3481638 53.3016831, -6.34758 53.30142, -6.3476399 53.3012544, -6.3477149 53.3010467, -6.347816 53.3007672, -6.3479416 53.3004199, -6.3479505 53.3003276, -6.3483529 53.3004654, -6.3485209 53.3005342, -6.348697 53.3005944, -6.3487324 53.3006072, -6.3491036 53.3007409, -6.3495565 53.3008661, -6.3501583 53.3009941))",school,Coláiste de hÍde,,,
"POLYGON ((-6.3187405 53.2984444, -6.3188769 53.298477, -6.3187691 53.2986379, -6.3186362 53.2986061, -6.3186079 53.2986483, -6.3175538 53.298396, -6.3176973 53.2981818, -6.3178344 53.2982146, -6.3178584 53.2981788, -6.318772 53.2983974, -6.3187405 53.2984444))",school,Bishop Galvin National School,,,
"POLYGON ((-6.3179573 53.2980451, -6.3179913 53.2979967, -6.3178697 53.2979662, -6.3179761 53.2978147, -6.3179344 53.2978042, -6.3179648 53.2977608, -6.3191344 53.2980541, -6.3189636 53.2982974, -6.3179573 53.2980451))",school,Bishop Shanahan National School,,,
"POLYGON ((-6.3366283 53.3077053, -6.3364198 53.3076465, -6.3364345 53.3076257, -6.3364154 53.3076095, -6.3361343 53.3075431, -6.3360321 53.3075169, -6.335919 53.3074879, -6.3358602 53.3074726, -6.3358397 53.3074672, -6.3357446 53.3074835, -6.3356227 53.3076569, -6.3348644 53.3077367, -6.3347054 53.3080191, -6.3345016 53.3079681, -6.3340519 53.3078581, -6.3340517 53.3077765, -6.3347489 53.3067147, -6.3347755 53.3067211, -6.3353694 53.3068665, -6.3353994 53.3068882, -6.3357863 53.30699, -6.3360801 53.3070587, -6.3361908 53.3071101, -6.3363139 53.307103, -6.3371674 53.3073001, -6.3368593 53.3077625, -6.3366283 53.3077053))",school,Greenhills College,Limekiln Avenue,,
"POLYGON ((-6.2633921 53.2963736, -6.2638437 53.2964616, -6.2647658 53.2966146, -6.2649542 53.2966564, -6.2651903 53.2967286, -6.2653174 53.2967845, -6.2651145 53.2972978, -6.2649449 53.2977155, -6.2648012 53.2980697, -6.26414 53.2984956, -6.2641293 53.298495, -6.2634973 53.2984611, -6.2631136 53.2984437, -6.2629681 53.2984076, -6.2629103 53.2978232, -6.2628623 53.2972063, -6.2629148 53.2969032, -6.2629211 53.2968579, -6.2629944 53.2963336, -6.2630254 53.2962998, -6.2630991 53.2962981, -6.2631607 53.2963156, -6.2633921 53.2963736))",school,De La Salle College Churchtown,,,
"POLYGON ((-6.2823944 53.2928638, -6.2823757 53.2927723, -6.2823872 53.2927225, -6.2823821 53.2926526, -6.2823625 53.2924553, -6.2823671 53.2923992, -6.2823747 53.2923406, -6.2824382 53.2917203, -6.2829374 53.2917802, -6.2832652 53.2918301, -6.2837361 53.29188, -6.2842025 53.2919242, -6.2849374 53.2920295, -6.2859947 53.29217, -6.2862673 53.2923428, -6.2863472 53.2927763, -6.2850643 53.2936134, -6.2847128 53.2934505, -6.2844273 53.2933955, -6.2843414 53.2934606, -6.2843544 53.2936005, -6.2839247 53.2938093, -6.2835697 53.2934244, -6.2833114 53.2931414, -6.2829866 53.2929672, -6.2827899 53.2929084, -6.2824678 53.2928721, -6.2823944 53.2928638))",school,Loreto High School Beaufort,,,
"POLYGON ((-6.2852486 53.2952381, -6.2836921 53.294234, -6.2827268 53.2947385, -6.2821399 53.2950091, -6.282232 53.295058, -6.2823196 53.2951014, -6.282343 53.295113, -6.2824096 53.2950764, -6.2828674 53.2948254, -6.2845052 53.2958223, -6.2847285 53.2957841, -6.2849878 53.2955119, -6.2852486 53.2952381))",school,Saint Mary's Boys National School,Grange Road,,
"POLYGON ((-6.2762481 53.2915693, -6.2758515 53.2922707, -6.2747731 53.292065, -6.2747465 53.2921079, -6.2741964 53.2920246, -6.2742172 53.2919849, -6.2737748 53.2919025, -6.2740392 53.2913865, -6.2744706 53.2914581, -6.2745348 53.2913395, -6.2762481 53.2915693))",school,Rathfarnham Educate Together National School,Loreto Avenue,,
"POLYGON ((-6.2701209 53.3107001, -6.2698911 53.3107013, -6.2695456 53.3107032, -6.2693206 53.3107066, -6.2687734 53.3107235, -6.2687136 53.3107249, -6.2686333 53.3107269, -6.268678 53.3109501, -6.2687354 53.3110931, -6.2689552 53.3111156, -6.2693239 53.311097, -6.2696183 53.3110892, -6.2699152 53.3110819, -6.2704181 53.3111739, -6.270644 53.3107817, -6.270581 53.3107825, -6.2701235 53.3107879, -6.2701221 53.3107394, -6.2701209 53.3107001))",school,St Peter's School,,,
"POLYGON ((-6.408412 53.3504118, -6.408695 53.350459, -6.4090283 53.3505137, -6.4091192 53.3505286, -6.4090346 53.3507134, -6.4090019 53.3508566, -6.4089787 53.3508765, -6.4089411 53.350886, -6.4089036 53.3508875, -6.4088662 53.3508713, -6.4088449 53.3508485, -6.4088373 53.350822, -6.4082689 53.3507293, -6.408412 53.3504118))",post_depot,Fonthill Delivery Services Unit,,,
"POLYGON ((-6.4122676 53.3494469, -6.4123537 53.3494425, -6.4126753 53.3495395, -6.4124599 53.3497941, -6.4120367 53.3496665, -6.4121957 53.3494787, -6.4122676 53.3494469))",post_depot,An Post,,,
"POLYGON ((-6.2896344 53.2796527, -6.2888321 53.2795919, -6.2888011 53.2795883, -6.2887845 53.2796534, -6.2884876 53.2796297, -6.2878219 53.2795803, -6.2876902 53.2795694, -6.2879507 53.2783543, -6.2892059 53.2784661, -6.2891969 53.2785042, -6.2893714 53.2785237, -6.2895287 53.2785389, -6.2898561 53.2785705, -6.2898251 53.2787147, -6.2896962 53.2793165, -6.2896344 53.2796527))",school,St Mary's National School,,,
"POLYGON ((-6.3185844 53.2835437, -6.3182875 53.2833976, -6.3182656 53.2833667, -6.31823 53.2833944, -6.3177567 53.2835464, -6.3178387 53.2835501, -6.3178398 53.2835688, -6.3178377 53.2836358, -6.3180339 53.2836394, -6.3181116 53.2836106, -6.3181416 53.2836121, -6.3181805 53.2836504, -6.3183264 53.2836113, -6.3183288 53.2835981, -6.3184432 53.2835764, -6.3184432 53.2835587, -6.3185556 53.2835534, -6.3185844 53.2835437))",place_of_worship,Saint Colmcille's Church,Idrone Avenue,,
"POLYGON ((-6.3406331 53.2801868, -6.340477 53.2803415, -6.3403588 53.2802989, -6.3402592 53.2803977, -6.3403902 53.2804449, -6.3403191 53.2805154, -6.34046 53.2805662, -6.3405342 53.2804926, -6.3406661 53.2805401, -6.3407622 53.2804449, -6.3406489 53.2804041, -6.3408055 53.2802489, -6.3406331 53.2801868))",place_of_worship,Church Of Our Lady Of Mount Carmel,Ballycullen Avenue,,
"POLYGON ((-6.4427009 53.280316, -6.4425216 53.2803903, -6.4425968 53.2804551, -6.442536 53.2804803, -6.4426552 53.2805832, -6.4427361 53.2805497, -6.4429014 53.2806922, -6.4429567 53.2806693, -6.443001 53.2807076, -6.4430579 53.2806841, -6.4430136 53.2806458, -6.4430632 53.2806253, -6.4428976 53.2804825, -6.4429804 53.2804482, -6.4428588 53.2803433, -6.4427735 53.2803787, -6.4427009 53.280316))",place_of_worship,Saggart Church,,,
"POLYGON ((-6.3147509 53.2778218, -6.313634 53.2780422, -6.3135862 53.2781409, -6.3134212 53.2788152, -6.3134295 53.2788764, -6.3136731 53.2788896, -6.3136149 53.2791421, -6.3138035 53.2791623, -6.3148135 53.2792417, -6.3148178 53.2792421, -6.3148542 53.2792455, -6.3149123 53.2792509, -6.314967 53.279255, -6.3155723 53.2793205, -6.3156 53.279019, -6.3156993 53.2789214, -6.3157348 53.2788186, -6.316093 53.2787563, -6.316626 53.2786637, -6.3166516 53.2786101, -6.3166799 53.2785087, -6.3166868 53.2784248, -6.3166893 53.2782601, -6.3166345 53.2782643, -6.3164158 53.2775646, -6.3162941 53.2773617, -6.3158394 53.2766252, -6.3151001 53.2767235, -6.3147026 53.2767571, -6.3143801 53.2767851, -6.3147509 53.2778218))",school,St Colmcille's Community School,,,
"POLYGON ((-6.31536 53.2844448, -6.3152292 53.2841008, -6.3150878 53.283778, -6.3160748 53.2833521, -6.316201 53.2833838, -6.3163689 53.2835543, -6.3165454 53.2835104, -6.3167451 53.2837179, -6.3167397 53.2837973, -6.3169081 53.2838187, -6.3174568 53.2838956, -6.3173575 53.2839753, -6.3173359 53.2840295, -6.3172842 53.2843946, -6.3172407 53.2846159, -6.317205 53.2849341, -6.3155333 53.2848521, -6.3153889 53.2848455, -6.3153945 53.2845121, -6.3153846 53.2844927, -6.31536 53.2844448))",school,Saint Colmcille's National School,Idrone Avenue,,Knocklyon
"POLYGON ((-6.2943824 53.286707, -6.2950099 53.286148, -6.2951221 53.2861841, -6.2953487 53.285928, -6.2951183 53.2858625, -6.2947693 53.2857681, -6.2938344 53.2864802, -6.2943824 53.286707))",school,Ballyroan Boys National School,Ballyroan Road,,
"POLYGON ((-6.2978068 53.2868005, -6.2968144 53.2863385, -6.2969579 53.285932, -6.2970858 53.28537, -6.2968269 53.2846542, -6.2970976 53.2844348, -6.2971563 53.2843778, -6.2974149 53.284409, -6.2983039 53.2842877, -6.2986386 53.2841261, -6.299503 53.283986, -6.2997206 53.2851697, -6.2995434 53.2852861, -6.2995944 53.2854467, -6.2996706 53.2854531, -6.2997219 53.2854825, -6.29974 53.2854988, -6.2995634 53.2865066, -6.299454 53.2868809, -6.2978068 53.2868005))",school,Coláiste Éanna C.B.S.,Hillside Park,,
"POLYGON ((-6.3471422 53.2736677, -6.3472188 53.2733185, -6.3473211 53.272264, -6.3474765 53.2721899, -6.3478905 53.2722594, -6.3493968 53.2730711, -6.3492265 53.2732051, -6.3490805 53.2737834, -6.3471422 53.2736677))",school,Holy Rosary National School,Old Court Avenue,,
"POLYGON ((-6.3476497 53.2735565, -6.3476816 53.2734174, -6.3472875 53.2733851, -6.347256 53.2735226, -6.3473345 53.273529, -6.3473233 53.2735782, -6.3474445 53.2735881, -6.3474501 53.2735636, -6.34757 53.2735734, -6.3475752 53.2735504, -6.3476497 53.2735565))",place_of_worship,Holy Rosary Church,,,
"POLYGON ((-6.283139 53.3416007, -6.2830246 53.3416009, -6.2824444 53.3416015, -6.2824441 53.3415179, -6.2831387 53.3415171, -6.2831387 53.3415274, -6.283139 53.3416007))",school,Saint Catherine's Primary School,,,
"POLYGON ((-6.2716535 53.3433419, -6.2716742 53.3435321, -6.271599 53.343535, -6.2716025 53.3435667, -6.2714759 53.3435716, -6.2714725 53.3435399, -6.2712513 53.3435485, -6.2712547 53.3435802, -6.2710932 53.3435865, -6.2710897 53.3435548, -6.2710342 53.343557, -6.2709749 53.3435419, -6.2708068 53.3435485, -6.2708021 53.3435057, -6.2707685 53.343507, -6.270761 53.3434383, -6.2707946 53.343437, -6.2707899 53.3433936, -6.2709556 53.3433872, -6.2710134 53.3433669, -6.271069 53.3433647, -6.271064 53.3433189, -6.2712255 53.3433127, -6.2712305 53.3433584, -6.2715655 53.3433454, -6.2715603 53.3432972, -6.2715533 53.3432328, -6.2716412 53.3432294, -6.2716462 53.343275, -6.2716535 53.3433419))",place_of_worship,Christ Church Cathedral,Christchurch Place,,Dublin
"POLYGON ((-6.336885 53.2846808, -6.3369636 53.2846599, -6.3369909 53.2846612, -6.3370062 53.2846682, -6.3370242 53.284671, -6.3370457 53.2846685, -6.3370688 53.2846639, -6.3371086 53.284656, -6.3371565 53.2846477, -6.3372044 53.2846394, -6.3372219 53.2846314, -6.3372319 53.2846218, -6.3372448 53.2846117, -6.3372797 53.2845949, -6.3373157 53.284656, -6.3377583 53.2848559, -6.3379976 53.2846947, -6.3384322 53.2849124, -6.3383164 53.2850295, -6.3380545 53.2851787, -6.3372178 53.2856555, -6.3368296 53.2854214, -6.3367834 53.2853935, -6.3364734 53.2851468, -6.3370787 53.2849144, -6.336885 53.2846808))",school,Scoil Carmel National School,,,
"POLYGON ((-6.2637046 53.3278693, -6.2637008 53.3278929, -6.2635466 53.327884, -6.2635288 53.3279932, -6.2636802 53.328002, -6.2636768 53.3280225, -6.2638025 53.3280297, -6.2637895 53.3281099, -6.2640532 53.3281252, -6.2640619 53.3280548, -6.2640815 53.3280434, -6.2643136 53.3280569, -6.2643252 53.3279857, -6.2643367 53.3279146, -6.2642911 53.3279119, -6.2643005 53.3278545, -6.264245 53.3278513, -6.2642426 53.3278656, -6.2641476 53.3278601, -6.2641525 53.3278299, -6.2640895 53.3278262, -6.2640913 53.3278148, -6.2640053 53.3278064, -6.2640102 53.327784, -6.263858 53.3277739, -6.2638386 53.3278771, -6.2637046 53.3278693))",place_of_worship,"Church of Mary Immaculate, Refuge of Sinners",Rathmines Road Lower,,Dublin
"POLYGON ((-6.339925 53.3468328, -6.3403927 53.3469923, -6.3403773 53.3470084, -6.3404369 53.3470287, -6.3403838 53.3470842, -6.3403242 53.3470639, -6.3402991 53.3470901, -6.3398781 53.3469465, -6.3398887 53.3469355, -6.339842 53.3469195, -6.339925 53.3468328))",place_of_worship,The Nativity of the Blessed Virgin Mary,Chapelizod Road,,Dublin
"POLYGON ((-6.5397755 53.3399956, -6.5398224 53.3399863, -6.5398588 53.339966, -6.5398884 53.3399258, -6.5398903 53.3398971, -6.5398684 53.3398673, -6.539309 53.3397029, -6.5392604 53.3397619, -6.5392119 53.3398208, -6.5392058 53.3398281, -6.5397755 53.3399956))",place_of_worship,Saint Patrick's,,,
"POLYGON ((-6.3585203 53.2997634, -6.3581475 53.2999533, -6.3584707 53.30018, -6.3588435 53.2999901, -6.3585203 53.2997634))",place_of_worship,St Kevin's,Treepark Road,,
"POLYGON ((-6.357762 53.3129716, -6.3571343 53.3132064, -6.3564372 53.3125411, -6.3570703 53.3123043, -6.3573846 53.3126042, -6.3574621 53.3125752, -6.3577451 53.3128453, -6.3576621 53.3128763, -6.357762 53.3129716))",post_depot,Fastway Couriers,Ballymount Road Upper,,
"POLYGON ((-6.3624387 53.3197444, -6.3622567 53.3196197, -6.361927 53.3197913, -6.362109 53.319916, -6.3624387 53.3197444))",bank,AIB,,AIB,Dublin
"POLYGON ((-6.3689909 53.3244163, -6.3688565 53.3243156, -6.3689265 53.3242794, -6.3685973 53.3240451, -6.3685273 53.3240744, -6.3683586 53.3239606, -6.3675312 53.3243702, -6.3678384 53.3246015, -6.3678968 53.3245778, -6.3682074 53.3247954, -6.3689909 53.3244163))",post_depot,An Post Dublin Parcel Hub,,,
"POLYGON ((-6.3693929 53.3249867, -6.3686245 53.3249454, -6.368605 53.3250748, -6.3684083 53.3250642, -6.3683068 53.3257366, -6.3680177 53.3257211, -6.3679529 53.3261508, -6.368262 53.3261675, -6.3681718 53.3267652, -6.3683165 53.3267729, -6.3682956 53.3269114, -6.3691799 53.326959, -6.3694474 53.3251865, -6.3693634 53.3251819, -6.3693929 53.3249867))",post_depot,An Post Dublin Mail Centre,,,
"POLYGON ((-6.3685779 53.3069473, -6.3687647 53.3068005, -6.3693811 53.306316, -6.3690023 53.3061293, -6.3695021 53.3059578, -6.3698367 53.3058093, -6.3715074 53.3065961, -6.3715074 53.3067141, -6.3713185 53.306709, -6.3711726 53.306709, -6.3709924 53.3067397, -6.3707435 53.3068115, -6.3704774 53.3068592, -6.3703401 53.3069055, -6.3701938 53.3069564, -6.3700076 53.3070238, -6.3696223 53.3072943, -6.3695558 53.3073238, -6.3694975 53.3073306, -6.3694042 53.3073152, -6.3690161 53.3071424, -6.3685779 53.3069473))",school,,,,
"POLYGON ((-6.3683103 53.3072741, -6.3680407 53.3074827, -6.3680608 53.3074919, -6.3680423 53.3075063, -6.3682852 53.3076183, -6.3683056 53.3076026, -6.3683267 53.3076123, -6.3685922 53.3074068, -6.3685229 53.3073749, -6.3685387 53.3073626, -6.3683985 53.3072979, -6.3683848 53.3073084, -6.3683103 53.3072741))",place_of_worship,St Killian's Church,Sylvan Drive,,
