,,,,,,A,B
,,,post_box,,,,
,,,pub,,,,
,,,post_box,,,,
,,,pub,,,,
,,,cafe,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,pharmacy,,,,
,,,post_office,,,,
,,,pub,,,,
,,,atm,,,,
,,,pharmacy,,,,
,,,taxi,,,,
,,,taxi,,,,
,,,taxi,,,,
,,,taxi,,,,
,,,pub,,,,
,,,pub,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,fuel,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,pub,,,,
,,,parking,,,,
,,,parking_entrance,,,,
,,,pharmacy,,,,
,,,pharmacy,,,,
,,,bank,,,,
,,,vending_machine,,,,
,,,restaurant,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,bar,,,,
,,,parking,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,atm,,,,
,,,fuel,,,,
,,,restaurant,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,pub,,,,
,,,pharmacy,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,parking,,,,
,,,taxi,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,atm,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,recycling,,,,
,,,atm,,,,
,,,atm,,,,
,,,studio,,,,
,,,atm,,,,
,,,pharmacy,,,,
,,,cafe,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,fuel,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,atm,,,,
,,,restaurant,,,,
,,,bank,,,,
,,,pub,,,,
,,,pub,,,,
,,,pub,,,,
,,,clock,,,,
,,,recycling,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,pub,,,,
,,,recycling,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,parking,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,parking_entrance,,,,
,,,pharmacy,,,,
,,,bicycle_parking,,,,
,,,pub,,,,
,,,cafe,,,,
,,,parking_entrance,,,,
,,,school,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,fuel,,,,
,,,school,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,place_of_worship,,,,
,,,pub,,,,
,,,pharmacy,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,atm,,,,
,,,parking_entrance,,,,
,,,post_box,,,,
,,,place_of_worship,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,parking_entrance,,,,
,,,pharmacy,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,waste_basket,,,,
,,,cafe,,,,
,,,pub,,,,
,,,cafe,,,,
,,,bank,,,,
,,,pub,,,,
,,,pharmacy,,,,
,,,restaurant,,,,
,,,atm,,,,
,,,arts_centre,,,,
,,,arts_centre,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,pharmacy,,,,
,,,doctors,,,,
,,,fast_food,,,,
,,,library,,,,
,,,restaurant,,,,
,,,parking,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,social_facility,,,,
,,,bicycle_parking,,,,
,,,internet_cafe,,,,
,,,pub,,,,
,,,fuel,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,atm,,,,
,,,atm,,,,
,,,pub,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,parking_entrance,,,,
,,,pub,,,,
,,,pub,,,,
,,,cafe,,,,
,,,place_of_worship,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,bar,,,,
,,,restaurant,,,,
,,,atm,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,atm,,,,
,,,bank,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,taxi,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,atm,,,,
,,,restaurant,,,,
,,,post_office,,,,
,,,doctors,,,,
,,,cafe,,,,
,,,telephone,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,bank,,,,
,,,bank,,,,
,,,atm,,,,
,,,atm,,,,
,,,bank,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,post_office,,,,
,,,dentist,,,,
,,,post_box,,,,
,,,recycling,,,,
,,,telephone,,,,
,,,recycling,,,,
,,,fast_food,,,,
,,,bank,,,,
,,,fast_food,,,,
,,,childcare,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,telephone,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,post_office,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,parking,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,pharmacy,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,atm,,,,
,,,bicycle_parking,,,,
,,,college,,,,
,,,cafe,,,,
,,,kindergarten,,,,
,,,social_facility,,,,
,,,pharmacy,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,parking_entrance,,,,
,,,place_of_worship,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,atm,,,,
,,,fast_food,,,,
,,,post_office,,,,
,,,post_box,,,,
,,,bench,,,,
,,,bench,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,parking,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,pharmacy,,,,
,,,kindergarten,,,,
,,,veterinary,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,cinema,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,casino,,,,
,,,fuel,,,,
,,,atm,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,bicycle_parking,,,,
,,,doctors,,,,
,,,atm,,,,
,,,restaurant,,,,
,,,recycling,,,,
,,,parking,,,,
,,,theatre,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,bicycle_parking,,,,
,,,post_box,,,,
,,,bank,,,,
,,,cafe,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,bank,,,,
,,,bank,,,,
,,,recycling,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,library,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,pharmacy,,,,
,,,community_centre,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,post_box,,,,
,,,fast_food,,,,
,,,taxi,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bicycle_parking,,,,
,,,fast_food,,,,
,,,bank,,,,
,,,atm,,,,
,,,bicycle_parking,,,,
,,,atm,,,,
,,,fast_food,,,,
,,,parking,,,,
,,,cafe,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,fuel,,,,
,,,pub,,,,
,,,post_box,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,atm,,,,
,,,parking,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,recycling,,,,
,,,parking,,,,
,,,recycling,,,,
,,,ferry_terminal,,,,
,,,fast_food,,,,
,,,ice_cream,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,pharmacy,,,,
,,,recycling,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,bench,,,,
,,,cafe,,,,
,,,pub,,,,
,,,bench,,,,
,,,bank,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,pharmacy,,,,
,,,pharmacy,,,,
,,,pharmacy,,,,
,,,pharmacy,,,,
,,,atm,,,,
,,,telephone,,,,
,,,telephone,,,,
,,,telephone,,,,
,,,shelter,,,,
,,,shelter,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,parking,,,,
,,,fast_food,,,,
,,,post_office,,,,
,,,research_institute,,,,
,,,bicycle_parking,,,,
,,,fountain,,,,
,,,pub,,,,
,,,telephone,,,,
,,,restaurant,,,,
,,,telephone,,,,
,,,fuel,,,,
,,,cafe,,,,
,,,parking_entrance,,,,
,,,restaurant,,,,
,,,pub,,,,
,,,police,,,,
,,,restaurant,,,,
,,,recycling,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,pharmacy,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,pharmacy,,,,
,,,taxi,,,,
,,,pub,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,atm,,,,
,,,recycling,,,,
,,,post_box,,,,
,,,parking,,,,
,,,parking_entrance,,,,
,,,bicycle_parking,,,,
,,,casino,,,,
,,,bicycle_parking,,,,
,,,restaurant,,,,
,,,post_office,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,recycling,,,,
,,,post_box,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,bar,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,pharmacy,,,,
,,,dentist,,,,
,,,kindergarten,,,,
,,,veterinary,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,clinic,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,bicycle_parking,,,,
,,,post_office,,,,
,,,parking,,,,
,,,weighbridge,,,,
,,,bicycle_parking,,,,
,,,telephone,,,,
,,,atm,,,,
,,,bar,,,,
,,,internet_cafe,,,,
,,,atm,,,,
,,,bank,,,,
,,,atm,,,,
,,,bank,,,,
,,,fast_food,,,,
,,,nightclub,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,parking,,,,
,,,cafe,,,,
,,,atm,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,ferry_terminal,,,,
,,,pharmacy,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,parking,,,,
,,,pharmacy,,,,
,,,parking_entrance,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,doctors,,,,
,,,bar,,,,
,,,bar,,,,
,,,pharmacy,,,,
,,,recycling,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,pharmacy,,,,
,,,post_box,,,,
,,,fuel,,,,
,,,bar,,,,
,,,pub,,,,
,,,pub,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,doctors,,,,
,,,pub,,,,
,,,post_office,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,pub,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,parking,,,,
,,,nightclub,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,pub,,,,
,,,cinema,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,restaurant,,,,
,,,pub,,,,
,,,nightclub,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,bank,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,pharmacy,,,,
,,,parking,,,,
,,,parking,,,,
,,,restaurant,,,,
,,,parking,,,,
,,,shelter,,,,
,,,waste_basket,,,,
,,,fountain,,,,
,,,shelter,,,,
,,,taxi,,,,
,,,pharmacy,,,,
,,,pub,,,,
,,,cafe,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,taxi,,,,
,,,telephone,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,atm,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,post_office,,,,
,,,bank,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,parking,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,post_box,,,,
,,,pharmacy,,,,
,,,charging_station,,,,
,,,cafe,,,,
,,,pharmacy,,,,
,,,pharmacy,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,car_rental,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,drinking_water,,,,
,,,post_box,,,,
,,,bench,,,,
,,,post_box,,,,
,,,taxi,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,atm,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,kindergarten,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,library,,,,
,,,pharmacy,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,bench,,,,
,,,bank,,,,
,,,fuel,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,bar,,,,
,,,fast_food,,,,
,,,pharmacy,,,,
,,,shelter,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bicycle_rental,,,,
,,,clock,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,post_box,,,,
,,,pub,,,,
,,,theatre,,,,
,,,parking_entrance,,,,
,,,parking_entrance,,,,
,,,restaurant,,,,
,,,ticket_validator,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,shelter,,,,
,,,bench,,,,
,,,bench,,,,
,,,shelter,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,pharmacy,,,,
,,,post_box,,,,
,,,theatre,,,,
,,,theatre,,,,
,,,recycling,,,,
,,,recycling,,,,
,,,toilets,,,,
,,,post_box,,,,
,,,atm,,,,
,,,recycling,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,fast_food,,,,
,,,parking_entrance,,,,
,,,parking,,,,
,,,clinic,,,,
,,,toilets,,,,
,,,toilets,,,,
,,,cafe,,,,
,,,doctors,,,,
,,,place_of_worship,,,,
,,,parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,shelter,,,,
,,,bench,,,,
,,,shelter,,,,
,,,fountain,,,,
,,,parking,,,,
,,,toilets,,,,
,,,parking,,,,
,,,toilets,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,pharmacy,,,,
,,,bank,,,,
,,,bank,,,,
,,,vending_machine,,,,
,,,post_box,,,,
,,,vending_machine,,,,
,,,post_box,,,,
,,,waste_basket,,,,
,,,bank,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,post_office,,,,
,,,bench,,,,
,,,bench,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,car_wash,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,parking,,,,
,,,parking,,,,
,,,pub,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,parking,,,,
,,,post_office,,,,
,,,post_box,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,post_box,,,,
,,,school,,,,
,,,atm,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,pub,,,,
,,,parking_space,,,,
,,,cafe,,,,
,,,telephone,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,pub,,,,
,,,pub,,,,
,,,telephone,,,,
,,,atm,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,internet_access,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,nightclub,,,,
,,,atm,,,,
,,,bank,,,,
,,,fast_food,,,,
,,,bank,,,,
,,,bank,,,,
,,,atm,,,,
,,,place_of_worship,,,,
,,,car_wash,,,,
,,,parking_entrance,,,,
,,,cafe,,,,
,,,atm,,,,
,,,ferry_terminal,,,,
,,,doctors,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,pharmacy,,,,
,,,restaurant,,,,
,,,taxi,,,,
,,,library,,,,
,,,cafe,,,,
,,,pharmacy,,,,
,,,pub,,,,
,,,pub,,,,
,,,bar,,,,
,,,atm,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,fuel,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,atm,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,veterinary,,,,
,,,pharmacy,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,parking_entrance,,,,
,,,bench,,,,
,,,bench,,,,
,,,fuel,,,,
,,,atm,,,,
,,,toilets,,,,
,,,recycling,,,,
,,,parking_entrance,,,,
,,,bank,,,,
,,,atm,,,,
,,,fast_food,,,,
,,,atm,,,,
,,,bank,,,,
,,,fast_food,,,,
,,,doctors,,,,
,,,pharmacy,,,,
,,,telephone,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,drinking_water,,,,
,,,post_office,,,,
,,,recycling,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,pharmacy,,,,
,,,taxi,,,,
,,,clinic,,,,
,,,clinic,,,,
,,,cafe,,,,
,,,pub,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,bar,,,,
,,,fast_food,,,,
,,,atm,,,,
,,,atm,,,,
,,,taxi,,,,
,,,veterinary,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,fast_food,,,,
,,,taxi,,,,
,,,telephone,,,,
,,,bench,,,,
,,,pub,,,,
,,,cafe,,,,
,,,recycling,,,,
,,,post_box,,,,
,,,pharmacy,,,,
,,,cafe,,,,
,,,car_wash,,,,
,,,fast_food,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,parking_entrance,,,,
,,,parking_entrance,,,,
,,,cinema,,,,
,,,kindergarten,,,,
,,,fast_food,,,,
,,,bicycle_parking,,,,
,,,restaurant,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,bank,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,library,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,pharmacy,,,,
,,,parking_entrance,,,,
,,,cafe,,,,
,,,post_box,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,pharmacy,,,,
,,,pharmacy,,,,
,,,doctors,,,,
,,,restaurant,,,,
,,,doctors,,,,
,,,childcare,,,,
,,,pharmacy,,,,
,,,taxi,,,,
,,,taxi,,,,
,,,post_box,,,,
,,,ferry_terminal,,,,
,,,bicycle_rental,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,parking_entrance,,,,
,,,cafe,,,,
,,,post_box,,,,
,,,parking_entrance,,,,
,,,parking_entrance,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,bank,,,,
,,,restaurant,,,,
,,,kindergarten,,,,
,,,waste_basket,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,post_box,,,,
,,,kindergarten,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,bank,,,,
,,,restaurant,,,,
,,,waste_basket,,,,
,,,bar,,,,
,,,bar,,,,
,,,restaurant,,,,
,,,bicycle_parking,,,,
,,,parking_entrance,,,,
,,,parking,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,cafe,,,,
,,,place_of_worship,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,toilets,,,,
,,,community_centre,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,parking,,,,
,,,parking,,,,
,,,pub,,,,
,,,bicycle_parking,,,,
,,,fuel,,,,
,,,bicycle_parking,,,,
,,,cafe,,,,
,,,bicycle_parking,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,bench,,,,
,,,bench,,,,
,,,waste_basket,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,recycling,,,,
,,,restaurant,,,,
,,,drinking_water,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,parking_entrance,,,,
,,,restaurant,,,,
,,,bar,,,,
,,,post_box,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,community_centre,,,,
,,,parking,,,,
,,,post_box,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,parking,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,kindergarten,,,,
,,,toilets,,,,
,,,cafe,,,,
,,,kindergarten,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,waste_basket,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,vending_machine,,,,
,,,bicycle_parking,,,,
,,,parking_entrance,,,,
,,,cafe,,,,
,,,pub,,,,
,,,pub,,,,
,,,atm,,,,
,,,recycling,,,,
,,,kindergarten,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,pub,,,,
,,,recycling,,,,
,,,parking,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,bench,,,,
,,,fast_food,,,,
,,,place_of_worship,,,,
,,,bicycle_parking,,,,
,,,parking,,,,
,,,restaurant,,,,
,,,recycling,,,,
,,,waste_basket,,,,
,,,bicycle_parking,,,,
,,,fountain,,,,
,,,waste_basket,,,,
,,,parking,,,,
,,,kindergarten,,,,
,,,post_office,,,,
,,,atm,,,,
,,,atm,,,,
,,,pharmacy,,,,
,,,restaurant,,,,
,,,car_wash,,,,
,,,parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,fountain,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,cafe,,,,
,,,post_box,,,,
,,,parking,,,,
,,,cafe,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,bicycle_parking,,,,
,,,pharmacy,,,,
,,,cafe,,,,
,,,parking,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,recycling,,,,
,,,post_box,,,,
,,,pub,,,,
,,,pub,,,,
,,,bicycle_parking,,,,
,,,bicycle_parking,,,,
,,,restaurant,,,,
,,,pub,,,,
,,,pub,,,,
,,,bar,,,,
,,,bar,,,,
,,,college,,,,
,,,atm,,,,
,,,social_facility,,,,
,,,pub,,,,
,,,cafe,,,,
,,,parking,,,,
,,,cafe,,,,
,,,parking,,,,
,,,drinking_water,,,,
,,,drinking_water,,,,
,,,parking,,,,
,,,parking,,,,
,,,clock,,,,
,,,bicycle_parking,,,,
,,,atm,,,,
,,,vending_machine,,,,
,,,atm,,,,
,,,atm,,,,
,,,telephone,,,,
,,,cafe,,,,
,,,recycling,,,,
,,,taxi,,,,
,,,vending_machine,,,,
,,,cafe,,,,
,,,clock,,,,
,,,pub,,,,
,,,clock,,,,
,,,atm,,,,
,,,bar,,,,
,,,telephone,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,post_office,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,clock,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,pharmacy,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,bench,,,,
,,,recycling,,,,
,,,post_box,,,,
,,,atm,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,pharmacy,,,,
,,,cafe,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,theatre,,,,
,,,fountain,,,,
,,,pub,,,,
,,,bar,,,,
,,,pub,,,,
,,,fountain,,,,
,,,fountain,,,,
,,,atm,,,,
,,,clock,,,,
,,,bench,,,,
,,,bench,,,,
,,,kindergarten,,,,
,,,telephone,,,,
,,,toilets,,,,
,,,toilets,,,,
,,,telephone,,,,
,,,toilets,,,,
,,,clock,,,,
