,,,,,,A,B
name:ar,,,recycling,,,,
diet:beef,,,recycling,,,,
diet:chicken,,,recycling,,,,
contact:vimeo,,,pub,,,,
service:bicycle:stand,,,post_box,,,,
fixme:type,,,post_box,,,,
diet:non-vegetarian,,,recycling,,,,
wikimedia_commons,,,fuel,,,,
brand:email,,,post_box,,,,
description:it,,,telephone,,,,
internet_access:ssid,,,cafe,,,,
cctv,,,fast_food,,,,
payment:mobile_phone,,,pharmacy,,,,
government,,,post_box,,,,
oven,,,telephone,,,,
arcade,,,atm,,,,
construction,,,pharmacy,,,,
diet:lactose_free,,,cafe,,,,
manufacturer,,,post_box,,,,
drink:energy_drink,,,bicycle_parking,,,,
drink:soda,,,pub,,,,
drink:water,,,pub,,,,
animal_shelter,,,cafe,,,,
defibrillator,,,post_box,,,,
name:signed,,,post_office,,,,
rental,,,post_box,,,,
portable,,,bicycle_rental,,,,
musical_instrument,,,bicycle_rental,,,,
authentication:nfc,,,post_box,,,,
charging_station:output,,,marketplace,,,,
nodes,,,post_box,,,,
HSE_code,,,fast_food,,,,
HSE_hgid,,,parking,,,,
HSE_hgroup,,,restaurant,,,,
HSE_region,,,bar,,,,
loc_name,,,restaurant,,,,
building:colour,,,college,,,,
building:material,,,nursing_home,,,,
building:part,,,fountain,,,,
architect,,,post_box,,,,
local_name,,,post_box,,,,
name:1988-2007,,,post_box,,,,
name:2008-2014,,,post_box,,,,
anglican,,,taxi,,,,
landuse,,,pharmacy,,,,
roof:colour,,,cafe,,,,
roof:material,,,bicycle_rental,,,,
roof:shape,,,post_box,,,,
name:ko,,,post_office,,,,
source:geometry,,,bicycle_rental,,,,
maxspeed,,,bicycle_rental,,,,
grades,,,bank,,,,
isced:level,,,cinema,,,,
web,,,pharmacy,,,,
formerly,,,fast_food,,,,
fee:amount,,,pub,,,,
old_operator,,,restaurant,,,,
gender,,,fast_food,,,,
roof:levels,,,recycling,,,,
heritage,,,atm,,,,
name:it,,,bank,,,,
ref:IE:nm,,,fast_food,,,,
area,,,parking_entrance,,,,
veterinary,,,restaurant,,,,
spaces,,,parking,,,,
min_height,,,restaurant,,,,
private,,,restaurant,,,,
industrial,,,restaurant,,,,
addr:district,,,restaurant,,,,
addr:province,,,pub,,,,
principal,,,pub,,,,
abandoned:amenity,,,pub,,,,
residential,,,recycling,,,,
capacity:charging,,,pharmacy,,,,
station_ref,,,fast_food,,,,
house,,,bicycle_rental,,,,
name:ja,,,toilets,,,,
ref:crs,,,pub,,,,
ref:national_rail,,,pub,,,,
pump:capacity,,,telephone,,,,
toilets:access,,,post_box,,,,
older_name,,,pharmacy,,,,
not:brand:wikidata,,,recycling,,,,
roof:angle,,,parking_entrance,,,,
roof:orientation,,,fast_food,,,,
building:cladding,,,post_box,,,,
building:use,,,post_box,,,,
ruined,,,parking,,,,
ref:IE:niah,,,restaurant,,,,
monastery:type,,,fast_food,,,,
alt_amenity,,,fast_food,,,,
addr:terracename,,,bank,,,,
fuel:HGV_diesel,,,restaurant,,,,
fuel:electricity,,,car_wash,,,,
addr:substreet,,,post_box,,,,
nohousenumber,,,post_box,,,,
hgv,,,post_box,,,,
note:it,,,post_box,,,,
lutheran,,,pub,,,,
operator:de,,,post_box,,,,
boat,,,post_box,,,,
payment:card,,,telephone,,,,
order,,,post_box,,,,
old_name:1804,,,car_rental,,,,
recycling:electrical_items,,,post_box,,,,
recycling:oil,,,social_facility,,,,
recycling:paint,,,pub,,,,
noaddress,,,fast_food,,,,
phone:IE,,,pub,,,,
real_fire,,,pub,,,,
ele,,,fast_food,,,,
former:name,,,post_box,,,,
alt_name:ga,,,restaurant,,,,
year_of_construction:rebuilt,,,post_box,,,,
beer_garden,,,post_box,,,,
building:architecture,,,pharmacy,,,,
drink:wine,,,bench,,,,
craft_beer,,,telephone,,,,
community,,,fast_food,,,,
community:en,,,atm,,,,
community:gender,,,fast_food,,,,
breakfast,,,cafe,,,,
breakfast:brunch,,,taxi,,,,
old_name:1898-1984,,,pharmacy,,,,
related:wikipedia,,,post_box,,,,
alt_name:gv,,,post_box,,,,
contact:itunes,,,toilets,,,,
name:gv,,,post_box,,,,
official_name:ga,,,recycling,,,,
official_name:la,,,post_box,,,,
roof:height,,,post_box,,,,
bridge,,,post_box,,,,
start,,,cafe,,,,
station:ref,,,pharmacy,,,,
language,,,fast_food,,,,
fast_food,,,pharmacy,,,,
waterway,,,pub,,,,
oneway,,,pub,,,,
orientation,,,fast_food,,,,
boys,,,post_box,,,,
girls,,,pub,,,,
ref:roll,,,fast_food,,,,
compressed_air:fee,,,fast_food,,,,
check_date:fee,,,pharmacy,,,,
owner,,,pub,,,,
restaurant,,,pharmacy,,,,
was:religion,,,restaurant,,,,
logainm:ref,,,post_box,,,,
logainm:url,,,fast_food,,,,
building:levels:underground,,,bicycle_rental,,,,
builder,,,bicycle_rental,,,,
payment:visa_electron,,,parking,,,,
addr:city:fa,,,parking,,,,
abandoned,,,parking,,,,
building:shape,,,parking,,,,
lockable,,,post_box,,,,
parking:orientation,,,parking,,,,
fuel:gasoil,,,bicycle_rental,,,,
fuel:solid,,,bicycle_rental,,,,
lounge,,,bicycle_rental,,,,
opening_date,,,bicycle_rental,,,,
ruins:building,,,bicycle_rental,,,,
building:year_built,,,restaurant,,,,
ethnic,,,cafe,,,,
old_name:1925,,,bicycle_rental,,,,
tank_cleaning_truck,,,fast_food,,,,
truck_wash,,,fast_food,,,,
heating,,,fast_food,,,,
website:en,,,post_box,,,,
access:conditional,,,bicycle_parking,,,,
access:note,,,post_box,,,,
ways,,,post_box,,,,
fee:covid19,,,pub,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,pharmacy,,,,
,,,post_box,,,,
,,,fast_food,,,,
,,,pharmacy,,,,
,,,atm,,,,
,,,bicycle_rental,,,,
,,,car_rental,,,,
,,,pub,,,,
,,,bar,,,,
,,,bar,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,taxi,,,,
,,,bicycle_rental,,,,
,,,pharmacy,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,shelter,,,,
,,,cafe,,,,
,,,pub,,,,
,,,bar,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,cafe,,,,
,,,restaurant,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,bar,,,,
,,,restaurant,,,,
,,,pub,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,bicycle_rental,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,bank,,,,
,,,fuel,,,,
,,,bank,,,,
,,,pharmacy,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,fast_food,,,,
,,,taxi,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,pharmacy,,,,
,,,restaurant,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,bank,,,,
,,,fuel,,,,
,,,restaurant,,,,
,,,recycling,,,,
,,,cafe,,,,
,,,pub,,,,
,,,pharmacy,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,pub,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,fast_food,,,,
,,,pharmacy,,,,
,,,post_box,,,,
,,,post_box,,,,
,,,fast_food,,,,
,,,recycling,,,,
,,,college,,,,
,,,college,,,,
,,,post_office,,,,
,,,post_depot,,,,
,,,post_box,,,,
,,,parking_entrance,,,,
,,,post_box,,,,
,,,pub,,,,
,,,recycling,,,,
,,,bench,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,pub,,,,
,,,pub,,,,
,,,cafe,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,parking,,,,
,,,fuel,,,,
,,,atm,,,,
,,,atm,,,,
,,,atm,,,,
,,,atm,,,,
,,,pub,,,,
,,,restaurant,,,,
,,,restaurant,,,,
,,,pharmacy,,,,
,,,place_of_worship,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,studio,,,,
,,,restaurant,,,,
,,,cafe,,,,
,,,fast_food,,,,
,,,cafe,,,,
,,,pub,,,,
,,,recycling,,,,
,,,fast_food,,,,
,,,post_box,,,,
,,,pharmacy,,,,
,,,pub,,,,
,,,fast_food,,,,
,,,bank,,,,
,,,fast_food,,,,
,,,pharmacy,,,,
,,,restaurant,,,,
,,,fast_food,,,,
,,,restaurant,,,,
,,,post_box,,,,
,,,pharmacy,,,,
,,,parking,,,,
,,,parking,,,,
,,,pub,,,,
,,,recycling,,,,
,,,doctors,,,,
,,,cafe,,,,
,,,atm,,,,
